Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate,Fetched From
22,healthmatch.io,Health > Health Conditions and Concerns,=,00:03:07,11.92,35.48%,Health
23,kff.org,Health > Health Conditions and Concerns,13,00:01:31,2.25,63.32%,Health
24,lung.org,Health > Health Conditions and Concerns,1,00:00:54,1.61,64.4%,Health
25,herzstiftung.de,Health > Health Conditions and Concerns,5,00:01:25,1.53,76.39%,Health
26,cdc.gov.tw,Health > Health Conditions and Concerns,16,00:01:50,2.09,62.21%,Health
27,spine-health.com,Health > Health Conditions and Concerns,=,00:01:26,1.79,64.87%,Health
28,answers.mawdoo3.com,Health > Health Conditions and Concerns,4,00:01:00,1.35,79.06%,Health
29,sanego.de,Health > Health Conditions and Concerns,2,00:01:13,1.76,65.07%,Health
30,usenourish.com,Health > Health Conditions and Concerns,9,00:03:55,4.85,55.29%,Health
31,diabetes.org,Health > Health Conditions and Concerns,1,00:01:33,2.35,58.98%,Health
32,lakartidningen.se,Health > Health Conditions and Concerns,3,00:02:49,2.08,60.72%,Health
33,kohi.or.kr,Health > Health Conditions and Concerns,138,00:20:30,25.25,15.89%,Health
34,orpha.net,Health > Health Conditions and Concerns,=,00:00:52,1.59,73.35%,Health
35,diabetes.org.uk,Health > Health Conditions and Concerns,6,00:01:53,2.46,59.33%,Health
36,farmasiet.no,Health > Health Conditions and Concerns,3,00:03:17,4.58,30.36%,Health
37,libreview.com,Health > Health Conditions and Concerns,6,00:03:05,3.79,27.65%,Health
38,omnipod.com,Health > Health Conditions and Concerns,30,00:02:38,2.51,52.45%,Health
39,alz.org,Health > Health Conditions and Concerns,2,00:01:25,2.13,56.49%,Health
40,nanbyou.or.jp,Health > Health Conditions and Concerns,12,00:01:58,1.69,79.12%,Health
41,arthritis.org,Health > Health Conditions and Concerns,2,00:00:44,1.53,63.42%,Health
42,mohw.go.kr,Health > Health Conditions and Concerns,7,00:03:57,6.51,57.52%,Health
43,duodecimlehti.fi,Health > Health Conditions and Concerns,3,00:01:08,1.83,28.99%,Health
44,macmillan.org.uk,Health > Health Conditions and Concerns,18,00:01:38,2.71,60.81%,Health
45,alzheimers.org.uk,Health > Health Conditions and Concerns,7,00:01:54,2.09,62.23%,Health
46,amsterdamumc.nl,Health > Health Conditions and Concerns,2,00:03:44,3.45,29.78%,Health
47,hug.ch,Health > Health Conditions and Concerns,2,00:01:15,2.23,59.45%,Health
48,davita.com,Health > Health Conditions and Concerns,1,00:03:11,5.42,45.59%,Health
49,felleskatalogen.no,Health > Health Conditions and Concerns,9,00:02:46,2.8,55.01%,Health
50,ourfuturehealth.org.uk,Health > Health Conditions and Concerns,5,00:07:57,11.46,35.91%,Health
1,mayoclinic.org,Health > Medicine,=,00:01:01,1.54,79.71%,Health
2,clevelandclinic.org,Health > Medicine,=,00:01:19,1.78,65.49%,Health
3,msdmanuals.com,Health > Medicine,=,00:01:45,2.83,61.71%,Health
4,vidal.ru,Health > Medicine,=,00:01:23,1.59,72.57%,Health
5,invitro.ru,Health > Medicine,1,00:04:04,4.3,46.08%,Health
6,hopkinsmedicine.org,Health > Medicine,1,00:01:31,2.16,63.46%,Health
7,rlsnet.ru,Health > Medicine,=,00:01:39,1.65,66.93%,Health
8,znanylekarz.pl,Health > Medicine,=,00:03:03,3.15,35.22%,Health
9,mp.pl,Health > Medicine,=,00:01:23,1.8,41.05%,Health
10,medscape.com,Health > Medicine,=,00:02:12,2.91,47.13%,Health
11,doccheck.com,Health > Medicine,=,00:03:07,2.15,54.64%,Health
12,lww.com,Health > Medicine,=,00:02:52,3.19,52.93%,Health
13,amboss.com,Health > Medicine,=,00:15:00,13.22,25.48%,Health
14,103.by,Health > Medicine,4,00:03:07,2.86,53.3%,Health
15,humanitas.it,Health > Medicine,6,00:01:01,1.62,70.38%,Health
16,providence.org,Health > Medicine,=,00:05:15,6.06,34.91%,Health
17,health.usnews.com,Health > Medicine,2,00:01:36,1.94,69.44%,Health
18,bmj.com,Health > Medicine,6,00:02:05,2.12,57.56%,Health
19,kp.org,Health > Medicine,3,00:05:35,5.72,32.2%,Health
20,m3.com,Health > Medicine,3,00:05:29,9.26,30.65%,Health
21,acibadem.com.tr,Health > Medicine,2,00:01:11,3.1,61.66%,Health
22,doximity.com,Health > Medicine,2,00:03:54,2.93,49.29%,Health
23,jamanetwork.com,Health > Medicine,5,00:01:43,1.89,62.34%,Health
24,libvio.fun,Health > Medicine,5,00:06:18,5.01,38.13%,Health
25,adventhealth.com,Health > Medicine,5,00:05:13,6.32,35.31%,Health
26,sutterhealth.org,Health > Medicine,1,00:06:45,6.73,24.06%,Health
27,uclahealth.org,Health > Medicine,1,00:03:25,3.73,46.4%,Health
28,emias.info,Health > Medicine,16,00:04:33,4.31,32.85%,Health
29,mailsuite.com,Health > Medicine,9,00:03:53,2.72,53.85%,Health
30,aamc.org,Health > Medicine,4,00:05:24,6.73,28.09%,Health
31,massgeneralbrigham.org,Health > Medicine,=,00:05:46,6.18,29.11%,Health
32,passmedicine.com,Health > Medicine,3,00:08:47,5.17,25.28%,Health
33,iqhealth.com,Health > Medicine,1,00:04:07,4.92,31.83%,Health
34,upmc.com,Health > Medicine,20,00:03:13,3.64,50.1%,Health
35,physio-pedia.com,Health > Medicine,4,00:02:01,2.09,59.04%,Health
36,health.kr,Health > Medicine,3,00:02:03,2.24,52.45%,Health
37,thewom.it,Health > Medicine,10,00:01:58,1.79,70.1%,Health
38,kenhub.com,Health > Medicine,8,00:02:56,2.63,58.55%,Health
39,med.or.jp,Health > Medicine,3,00:02:17,2.49,72.51%,Health
40,amc.seoul.kr,Health > Medicine,1,00:00:50,1.91,58.39%,Health
41,uchealth.org,Health > Medicine,1,00:04:50,5.76,31.87%,Health
42,doctornow.co.kr,Health > Medicine,5,00:01:09,1.52,77.43%,Health
43,nm.org,Health > Medicine,8,00:04:02,4.69,41.28%,Health
44,nrmp.org,Health > Medicine,192,00:03:41,2.69,64.6%,Health
45,uhhospitals.org,Health > Medicine,2,00:03:03,4.87,48.91%,Health
46,apollohospitals.com,Health > Medicine,8,00:02:17,3.09,53.25%,Health
47,mskcc.org,Health > Medicine,7,00:03:47,3.76,53.49%,Health
48,studentdoctor.net,Health > Medicine,1,00:02:54,2.82,53.68%,Health
49,cedars-sinai.org,Health > Medicine,1,00:01:51,2.65,64.92%,Health
50,aafp.org,Health > Medicine,2,00:01:42,2.26,59.04%,Health
1,clinikally.com,Health > Mens Health,=,00:02:55,2.9,50.7%,Health
2,harrys.com,Health > Mens Health,1,00:01:48,4.11,38.95%,Health
3,okusurinavi.shop,Health > Mens Health,1,00:02:23,3.78,45.44%,Health
4,dollarshaveclub.com,Health > Mens Health,=,00:01:35,3.68,42.81%,Health
5,mobizio.com,Health > Mens Health,4,00:26:01,16.08,14.34%,Health
6,adaptiveems.com,Health > Mens Health,4,00:04:44,3.98,10.62%,Health
7,gillette.com,Health > Mens Health,2,00:00:46,2.18,52.55%,Health
8,organicsocean.com,Health > Mens Health,=,00:02:05,2.43,60.56%,Health
9,cos-rd.com,Health > Mens Health,120,00:00:18,1.1,91.76%,Health
10,betterconsult.com,Health > Mens Health,4,00:02:13,2.29,56.07%,Health
11,calcsd.info,Health > Mens Health,4,00:02:34,2.53,48.32%,Health
12,rocketrx.com,Health > Mens Health,16,00:02:46,5.14,54.86%,Health
13,d-clinicgroup.jp,Health > Mens Health,7,00:00:24,1.25,69.88%,Health
14,healthadvicetoday.com,Health > Mens Health,=,00:00:56,1.67,77.48%,Health
15,bigdickguide.com,Health > Mens Health,1,00:01:46,2.66,47.93%,Health
16,mycarecorner.net,Health > Mens Health,=,00:04:09,5.93,22.57%,Health
17,careers.health.qld.gov.au,Health > Mens Health,=,00:02:15,2.35,57.96%,Health
18,looksmaxxing.com,Health > Mens Health,7,00:04:13,9.19,36.72%,Health
19,thunders.place,Health > Mens Health,6,00:05:36,6.85,41.83%,Health
20,issm.info,Health > Mens Health,1,00:00:12,1.37,55.26%,Health
21,airmedscrubs.com.au,Health > Mens Health,6,00:03:43,5.29,37.84%,Health
22,mynucleus.com,Health > Mens Health,10,00:03:06,3.89,46.24%,Health
23,newyorkurologyspecialists.com,Health > Mens Health,1,00:00:45,2.45,53.77%,Health
24,shop.drinkag1.com,Health > Mens Health,=,00:03:04,2.59,48.94%,Health
25,mitoredlight.com,Health > Mens Health,6,00:02:46,5.27,37.76%,Health
26,movember.com,Health > Mens Health,14,00:00:29,1.57,48.08%,Health
27,citycave.com.au,Health > Mens Health,1,00:02:45,2.83,41.75%,Health
28,unidru.com,Health > Mens Health,8,00:03:11,6.87,36.48%,Health
29,franktalk.org,Health > Mens Health,31,00:08:58,11.32,13.83%,Health
30,phallosan.com,Health > Mens Health,7,00:06:42,4.98,36.11%,Health
31,healthsea.com,Health > Mens Health,13,00:02:08,2.03,55.54%,Health
32,maennergesundheit.info,Health > Mens Health,2,00:01:13,1.29,81.9%,Health
33,agacare.clinic,Health > Mens Health,3,00:00:28,1.26,74.2%,Health
34,penuma.com,Health > Mens Health,4,00:01:19,1.7,51.26%,Health
35,growplex.co,Health > Mens Health,2,00:03:24,3.08,40.07%,Health
36,e-aga.jp,Health > Mens Health,5,00:00:02,1.21,70.91%,Health
37,drakner.ru,Health > Mens Health,12,00:00:27,1.62,48.24%,Health
38,zdorovnik.com,Health > Mens Health,27,00:00:12,1.16,75.37%,Health
39,sbc-aga.jp,Health > Mens Health,2,00:01:31,2.18,50.25%,Health
40,hers.com,Health > Mens Health,1,00:00:48,1.36,82.19%,Health
41,will-agaclinic.com,Health > Mens Health,1,00:00:26,1.55,67.85%,Health
42,barsclassaction.com,Health > Mens Health,7,00:01:54,1.84,53.79%,Health
43,themenshealthclinic.co.uk,Health > Mens Health,14,00:01:51,2.15,51.84%,Health
44,kato-aga-clinic.com,Health > Mens Health,5,00:00:37,1.33,74.63%,Health
45,aventusclinic.com,Health > Mens Health,3,00:00:42,1.46,55.36%,Health
46,prostata.de,Health > Mens Health,4,00:01:30,1.54,74.22%,Health
47,meindirektlabor.de,Health > Mens Health,4,00:01:19,2.36,44.39%,Health
48,dirxhealth.com,Health > Mens Health,21,00:01:57,4.03,47.3%,Health
49,lilli.ch,Health > Mens Health,6,00:01:22,1.86,67.14%,Health
50,forestbell.jp,Health > Mens Health,26,00:00:31,1.93,64.91%,Health
1,psychologytoday.com,Health > Mental Health,=,00:02:21,2.81,54.33%,Health
2,simplepractice.com,Health > Mental Health,=,00:09:49,12.2,26.82%,Health
3,doxy.me,Health > Mental Health,=,00:03:43,3.73,35.46%,Health
4,verywellmind.com,Health > Mental Health,=,00:01:20,1.6,65.57%,Health
5,betterhelp.com,Health > Mental Health,=,00:02:46,3.44,42.36%,Health
6,clientsecure.me,Health > Mental Health,=,00:05:24,4.49,32.03%,Health
7,therapynotes.com,Health > Mental Health,=,00:14:29,14.92,13.04%,Health
8,psychcentral.com,Health > Mental Health,=,00:01:37,3.55,37.44%,Health
9,growtherapy.com,Health > Mental Health,2,00:05:25,6.69,34.4%,Health
10,therapyportal.com,Health > Mental Health,1,00:03:50,5.16,31.4%,Health
11,psychologies.ru,Health > Mental Health,1,00:01:01,1.71,47.14%,Health
12,additudemag.com,Health > Mental Health,1,00:01:39,1.95,54.62%,Health
13,calm.com,Health > Mental Health,1,00:01:03,2.21,57.55%,Health
14,headway.co,Health > Mental Health,2,00:04:03,6.73,32.51%,Health
15,loopearplugs.com,Health > Mental Health,=,00:03:04,3.79,44.86%,Health
16,h-navi.jp,Health > Mental Health,3,00:04:05,2.77,55.31%,Health
17,psicoadvisor.com,Health > Mental Health,1,00:00:19,1.38,18.02%,Health
18,helloalma.com,Health > Mental Health,1,00:05:47,6.94,38.65%,Health
19,talkspace.com,Health > Mental Health,2,00:05:29,7.02,45.63%,Health
20,lifestance.com,Health > Mental Health,5,00:01:17,2.43,73.19%,Health
21,theranest.com,Health > Mental Health,2,00:13:23,16.57,23.33%,Health
22,guidapsicologi.it,Health > Mental Health,2,00:01:42,2.01,42.31%,Health
23,focusmate.com,Health > Mental Health,1,00:09:53,4.04,36.38%,Health
24,headspace.com,Health > Mental Health,2,00:01:38,3.08,42.44%,Health
25,trendyol-milla.com,Health > Mental Health,2,00:03:36,7.6,38.35%,Health
26,positivepsychology.com,Health > Mental Health,3,00:01:14,1.76,62.66%,Health
27,halaxy.com,Health > Mental Health,4,00:10:00,8.0,25.55%,Health
28,attachmentproject.com,Health > Mental Health,8,00:04:20,4.3,48.88%,Health
29,zandahealth.com,Health > Mental Health,=,00:07:36,4.87,37.82%,Health
30,mind.org.uk,Health > Mental Health,2,00:02:02,2.05,52.28%,Health
31,anahana.com,Health > Mental Health,3,00:01:34,1.55,70.55%,Health
32,treatmyocd.com,Health > Mental Health,=,00:03:09,3.02,43.53%,Health
33,breeze-wellbeing.com,Health > Mental Health,15,00:02:47,3.68,42.63%,Health
34,embrace-autism.com,Health > Mental Health,8,00:04:17,2.9,45.15%,Health
35,choosingtherapy.com,Health > Mental Health,5,00:01:50,1.63,57.3%,Health
36,charliehealth.com,Health > Mental Health,10,00:02:17,2.67,49.88%,Health
37,helpguide.org,Health > Mental Health,2,00:00:56,1.59,69.8%,Health
38,psychologue.net,Health > Mental Health,5,00:01:45,1.61,61.18%,Health
39,netsmartcloud.com,Health > Mental Health,1,00:13:26,9.75,18.03%,Health
40,therapyappointment.com,Health > Mental Health,1,00:09:46,8.24,26.66%,Health
41,appt.to,Health > Mental Health,3,00:00:56,1.39,78.4%,Health
42,samhsa.gov,Health > Mental Health,3,00:01:37,3.07,57.85%,Health
43,clinical-partners.co.uk,Health > Mental Health,=,00:01:52,2.62,37.76%,Health
44,mhanational.org,Health > Mental Health,5,00:01:27,2.66,55.06%,Health
45,talkiatry.com,Health > Mental Health,3,00:02:55,2.65,49.31%,Health
46,serenis.it,Health > Mental Health,22,00:02:33,2.78,55.74%,Health
47,7cups.com,Health > Mental Health,10,00:04:41,5.25,43.94%,Health
48,crediblebh.com,Health > Mental Health,4,00:13:48,9.42,21.17%,Health
49,insighttimer.com,Health > Mental Health,4,00:02:04,2.39,53.1%,Health
50,aisaver.io,Health > Mental Health,10,00:01:58,2.58,56.02%,Health
1,my-personaltrainer.it,Health > Nutrition Diets and Fitness,=,00:01:48,1.84,46.82%,Health
2,menshealth.com,Health > Nutrition Diets and Fitness,=,00:00:52,1.48,69.43%,Health
3,myfitnesspal.com,Health > Nutrition Diets and Fitness,=,00:04:09,6.87,32.84%,Health
4,health.com,Health > Nutrition Diets and Fitness,=,00:00:53,1.53,57.4%,Health
5,prevention.com,Health > Nutrition Diets and Fitness,=,00:01:13,1.49,61.01%,Health
6,eatthis.com,Health > Nutrition Diets and Fitness,1,00:00:52,1.38,70.75%,Health
7,gympass.com,Health > Nutrition Diets and Fitness,2,00:09:02,5.31,40.49%,Health
8,alfemminile.com,Health > Nutrition Diets and Fitness,2,00:02:54,2.45,65.88%,Health
9,planetfitness.com,Health > Nutrition Diets and Fitness,1,00:02:35,4.34,47.99%,Health
10,unimeal.com,Health > Nutrition Diets and Fitness,4,00:01:28,3.25,67.42%,Health
11,myprotein.com,Health > Nutrition Diets and Fitness,2,00:02:32,4.61,42.82%,Health
12,nutritionix.com,Health > Nutrition Diets and Fitness,=,00:01:29,2.22,62.92%,Health
13,classpass.com,Health > Nutrition Diets and Fitness,1,00:03:11,5.5,36.17%,Health
14,basic-fit.com,Health > Nutrition Diets and Fitness,3,00:01:51,2.87,47.93%,Health
15,framar.bg,Health > Nutrition Diets and Fitness,=,00:01:30,1.27,69.62%,Health
16,weightwatchers.com,Health > Nutrition Diets and Fitness,5,00:02:06,3.23,54.93%,Health
17,w12app.com.br,Health > Nutrition Diets and Fitness,6,00:29:06,30.44,25.73%,Health
18,verywellfit.com,Health > Nutrition Diets and Fitness,=,00:00:55,1.51,66.2%,Health
19,self.com,Health > Nutrition Diets and Fitness,5,00:00:59,1.53,63.98%,Health
20,stips.co.il,Health > Nutrition Diets and Fitness,=,00:04:33,5.18,50.33%,Health
21,totalpass.com,Health > Nutrition Diets and Fitness,4,00:09:03,3.24,43.96%,Health
22,smartfit.com.br,Health > Nutrition Diets and Fitness,1,00:02:46,4.67,30.96%,Health
23,muscleandstrength.com,Health > Nutrition Diets and Fitness,1,00:02:44,3.52,45.21%,Health
24,livestrong.com,Health > Nutrition Diets and Fitness,5,00:00:59,1.6,53.66%,Health
25,trans-returnsummarycard-images-na.s3.amazonaws.com,Health > Nutrition Diets and Fitness,9,00:01:54,2.07,55.5%,Health
26,tutorplace.ru,Health > Nutrition Diets and Fitness,6,00:01:55,2.06,76.42%,Health
27,ouraring.com,Health > Nutrition Diets and Fitness,1,00:02:04,3.84,43.65%,Health
28,sopharmacy.bg,Health > Nutrition Diets and Fitness,=,00:01:55,2.42,51.71%,Health
29,bulk.com,Health > Nutrition Diets and Fitness,=,00:04:35,5.66,42.37%,Health
30,puregym.com,Health > Nutrition Diets and Fitness,=,00:02:45,4.19,44.42%,Health
31,healthy.thewom.it,Health > Nutrition Diets and Fitness,4,00:01:59,1.63,72.69%,Health
32,cronometer.com,Health > Nutrition Diets and Fitness,3,00:03:12,2.54,42.58%,Health
33,vitaminshoppe.com,Health > Nutrition Diets and Fitness,6,00:02:47,4.16,44.28%,Health
34,gnc.com,Health > Nutrition Diets and Fitness,=,00:02:27,4.21,50.03%,Health
35,roguefitness.com,Health > Nutrition Diets and Fitness,6,00:02:26,3.73,45%,Health
36,yoga-lava.com,Health > Nutrition Diets and Fitness,9,00:07:11,6.18,34.04%,Health
37,wellnessliving.com,Health > Nutrition Diets and Fitness,6,00:04:41,5.66,31.07%,Health
38,lafitness.com,Health > Nutrition Diets and Fitness,2,00:02:44,3.38,42.81%,Health
39,lifetime.life,Health > Nutrition Diets and Fitness,7,00:02:37,4.58,36.64%,Health
40,eatthismuch.com,Health > Nutrition Diets and Fitness,10,00:01:12,2.55,55.49%,Health
41,voedingscentrum.nl,Health > Nutrition Diets and Fitness,4,00:01:53,2.52,49.24%,Health
42,tdeecalculator.net,Health > Nutrition Diets and Fitness,7,00:01:36,2.62,33.24%,Health
43,nativepath.com,Health > Nutrition Diets and Fitness,5,00:01:51,2.04,57.52%,Health
44,bryanjohnson.com,Health > Nutrition Diets and Fitness,11,00:04:12,4.08,40.07%,Health
45,mfitpersonal.com.br,Health > Nutrition Diets and Fitness,17,00:08:50,9.47,35.36%,Health
46,crunch.com,Health > Nutrition Diets and Fitness,6,00:02:02,2.82,43.72%,Health
47,calorizator.ru,Health > Nutrition Diets and Fitness,40,00:01:42,2.27,61.45%,Health
48,athleanx.com,Health > Nutrition Diets and Fitness,7,00:03:01,3.58,50.37%,Health
49,muscleblaze.com,Health > Nutrition Diets and Fitness,24,00:01:46,3.18,31.44%,Health
50,mynetdiary.com,Health > Nutrition Diets and Fitness,6,00:01:22,2.11,51.86%,Health
1,cvs.com,Health > Pharmacy,=,00:03:07,4.88,35.08%,Health
2,apteka.ru,Health > Pharmacy,1,00:03:50,4.39,45.86%,Health
3,drugs.com,Health > Pharmacy,1,00:01:34,2.22,67.54%,Health
4,tabletki.ua,Health > Pharmacy,1,00:03:07,5.43,33.67%,Health
5,goodrx.com,Health > Pharmacy,1,00:01:57,2.62,55.83%,Health
6,eapteka.ru,Health > Pharmacy,=,00:01:33,2.84,39.45%,Health
7,drogasil.com.br,Health > Pharmacy,2,00:02:31,2.95,61.11%,Health
8,apollopharmacy.in,Health > Pharmacy,=,00:01:03,4.18,41.15%,Health
9,drogaraia.com.br,Health > Pharmacy,2,00:02:04,2.7,63.34%,Health
10,consultaremedios.com.br,Health > Pharmacy,1,00:01:23,1.89,58.77%,Health
11,doz.pl,Health > Pharmacy,1,00:01:35,2.86,41.52%,Health
12,fda.gov,Health > Pharmacy,=,00:02:01,2.37,60.84%,Health
13,paguemenos.com.br,Health > Pharmacy,1,00:02:19,2.87,60.23%,Health
14,fahorro.com,Health > Pharmacy,1,00:01:50,2.44,64.46%,Health
15,drogariasaopaulo.com.br,Health > Pharmacy,4,00:02:21,2.66,65.59%,Health
16,netmeds.com,Health > Pharmacy,1,00:01:30,2.84,48.12%,Health
17,asna.ru,Health > Pharmacy,3,00:01:00,2.03,34.74%,Health
18,apotea.se,Health > Pharmacy,1,00:04:58,5.39,38.53%,Health
19,planetazdorovo.ru,Health > Pharmacy,2,00:03:45,5.37,21.37%,Health
20,pharmeasy.in,Health > Pharmacy,2,00:01:31,2.54,38.85%,Health
21,gorzdrav.org,Health > Pharmacy,6,00:01:43,3.32,33.13%,Health
22,stolichki.ru,Health > Pharmacy,4,00:02:50,3.39,43.13%,Health
23,farmaciasguadalajara.com,Health > Pharmacy,1,00:01:51,3.4,48.73%,Health
24,zdravcity.ru,Health > Pharmacy,1,00:02:21,2.46,61.42%,Health
25,kusurinomadoguchi.com,Health > Pharmacy,9,00:01:44,1.6,67.83%,Health
26,shoppersdrugmart.ca,Health > Pharmacy,3,00:03:16,4.35,39.38%,Health
27,apteka911.ua,Health > Pharmacy,7,00:02:53,3.39,59.55%,Health
28,apteka-april.ru,Health > Pharmacy,2,00:02:51,3.52,41.84%,Health
29,selcukecza.com.tr,Health > Pharmacy,5,00:07:04,3.02,26.07%,Health
30,medex.com.bd,Health > Pharmacy,1,00:03:05,3.29,52.75%,Health
31,drogariaspacheco.com.br,Health > Pharmacy,4,00:02:43,3.3,54.61%,Health
32,apoteket.se,Health > Pharmacy,4,00:03:10,3.15,40.3%,Health
33,secom-owel.jp,Health > Pharmacy,=,00:09:23,14.6,7.26%,Health
34,kegg.jp,Health > Pharmacy,2,00:01:49,1.78,73.85%,Health
35,redcare.it,Health > Pharmacy,4,00:04:14,4.16,48.58%,Health
36,mintmanga.one,Health > Pharmacy,7,00:24:31,14.92,32.07%,Health
37,apotekhjartat.se,Health > Pharmacy,=,00:03:46,3.75,42.41%,Health
38,366.ru,Health > Pharmacy,2,00:01:06,2.36,28.56%,Health
39,panvel.com,Health > Pharmacy,1,00:01:52,2.4,63.11%,Health
40,cruzverde.cl,Health > Pharmacy,1,00:02:05,3.54,50.83%,Health
41,farmaciasdesimilares.com,Health > Pharmacy,=,00:02:13,2.89,60.07%,Health
42,salcobrand.cl,Health > Pharmacy,=,00:02:37,2.26,66.37%,Health
43,apteka.net.ua,Health > Pharmacy,13,00:02:52,5.24,31.25%,Health
44,gelbe-liste.de,Health > Pharmacy,=,00:01:22,1.81,60.03%,Health
45,erx.com.au,Health > Pharmacy,1,00:03:33,3.03,48.68%,Health
46,riteaid.com,Health > Pharmacy,1,00:01:50,3.5,35.48%,Health
47,singlecare.com,Health > Pharmacy,2,00:01:28,1.85,68.11%,Health
48,farmaciasanpablo.com.mx,Health > Pharmacy,2,00:01:58,3.11,53.31%,Health
49,helsi.me,Health > Pharmacy,=,00:03:02,4.34,27.44%,Health
50,kronansapotek.se,Health > Pharmacy,4,00:02:54,2.77,56.08%,Health
1,rynekzdrowia.pl,Health > Public Health and Safety,=,00:00:53,1.59,24.36%,Health
2,helsenorge.no,Health > Public Health and Safety,=,00:05:14,5.28,34.56%,Health
3,mp3juice.ninja,Health > Public Health and Safety,=,00:02:57,2.99,60.1%,Health
4,esosuite.net,Health > Public Health and Safety,=,00:08:11,7.76,20.34%,Health
5,jrc.or.jp,Health > Public Health and Safety,=,00:02:04,2.67,58.23%,Health
6,aladtec.com,Health > Public Health and Safety,=,00:03:44,5.12,18.05%,Health
7,nfz.gov.pl,Health > Public Health and Safety,=,00:02:45,3.67,31.68%,Health
8,rivm.nl,Health > Public Health and Safety,=,00:01:20,1.82,63.65%,Health
9,leki.pl,Health > Public Health and Safety,2,00:01:24,1.4,79.28%,Health
10,health.state.mn.us,Health > Public Health and Safety,=,00:02:31,2.67,41.32%,Health
11,hvzeeland.nl,Health > Public Health and Safety,2,00:03:01,2.54,53.25%,Health
12,ortecapps.com,Health > Public Health and Safety,=,00:01:10,2.85,43.92%,Health
13,myeyedr.com,Health > Public Health and Safety,=,00:03:14,5.19,44.11%,Health
14,vghtpe.gov.tw,Health > Public Health and Safety,2,00:03:10,4.77,57.93%,Health
15,wam.go.jp,Health > Public Health and Safety,=,00:03:42,3.88,49.24%,Health
16,traumasoft.com,Health > Public Health and Safety,2,00:11:37,10.1,15.79%,Health
17,medfile.pl,Health > Public Health and Safety,1,00:17:33,10.63,27.87%,Health
18,ezdrowie.gov.pl,Health > Public Health and Safety,6,00:05:07,8.19,18.9%,Health
19,johanniter.de,Health > Public Health and Safety,3,00:02:50,4.12,44.64%,Health
20,swiatzdrowia.pl,Health > Public Health and Safety,3,00:01:21,1.92,73.06%,Health
21,ndmctsgh.edu.tw,Health > Public Health and Safety,1,00:02:41,3.72,47.02%,Health
22,ons-ehr.nl,Health > Public Health and Safety,3,00:04:13,2.48,31.96%,Health
23,nremt.org,Health > Public Health and Safety,=,00:05:03,6.34,31.11%,Health
24,saintfrancis.com,Health > Public Health and Safety,4,00:04:43,4.68,35.8%,Health
25,imagetrendelite.com,Health > Public Health and Safety,=,00:07:59,7.03,19%,Health
26,gabinet.gov.pl,Health > Public Health and Safety,=,00:05:29,10.22,9.25%,Health
27,pzh.gov.pl,Health > Public Health and Safety,=,00:01:53,2.39,43.61%,Health
28,inspq.qc.ca,Health > Public Health and Safety,3,00:01:06,1.75,63.24%,Health
29,cri.it,Health > Public Health and Safety,6,00:06:33,7.31,34.19%,Health
30,lshtm.ac.uk,Health > Public Health and Safety,2,00:03:30,4.71,46.24%,Health
31,112meldingen.nl,Health > Public Health and Safety,10,00:01:37,1.86,66.34%,Health
32,besoeglaegen.dk,Health > Public Health and Safety,3,00:04:04,5.27,22.75%,Health
33,sygeforsikring.dk,Health > Public Health and Safety,=,00:03:12,5.94,32.61%,Health
34,santepubliquefrance.fr,Health > Public Health and Safety,4,00:01:08,1.82,62.64%,Health
35,remedium.md,Health > Public Health and Safety,13,00:04:54,4.83,45.71%,Health
36,dlrg.de,Health > Public Health and Safety,=,00:03:00,4.06,35.14%,Health
37,healthdata.org,Health > Public Health and Safety,1,00:02:01,2.73,47.15%,Health
38,receptomat.pl,Health > Public Health and Safety,7,00:02:18,1.97,66.65%,Health
39,easypractice.net,Health > Public Health and Safety,2,00:05:45,7.09,30.54%,Health
40,mijnafspraakmaken.nl,Health > Public Health and Safety,15,00:02:15,2.25,60.76%,Health
41,whentohelp.com,Health > Public Health and Safety,1,00:04:01,4.81,31.38%,Health
42,meretusa.com,Health > Public Health and Safety,129,00:00:11,1.09,94.26%,Health
43,ezdrav.si,Health > Public Health and Safety,7,00:04:54,6.94,31.82%,Health
44,inrs.fr,Health > Public Health and Safety,3,00:02:57,3.01,60.48%,Health
45,rm.dk,Health > Public Health and Safety,11,00:02:25,4.3,40.2%,Health
46,cowzdrowiu.pl,Health > Public Health and Safety,14,00:05:42,2.68,57.29%,Health
47,firehouse.com,Health > Public Health and Safety,10,00:01:15,1.63,58.52%,Health
48,regionh.dk,Health > Public Health and Safety,8,00:02:04,2.85,49.8%,Health
49,healthaffairs.org,Health > Public Health and Safety,15,00:01:17,1.8,57.02%,Health
50,gelsenkirchen.de,Health > Public Health and Safety,24,00:02:43,3.51,56.74%,Health
1,womenshealthmag.com,Health > Womens Health,=,00:00:44,1.43,62.24%,Health
2,aufeminin.com,Health > Womens Health,=,00:01:35,2.62,44.05%,Health
3,flo.health,Health > Womens Health,=,00:01:36,2.42,64.48%,Health
4,urbia.de,Health > Womens Health,=,00:04:01,3.24,63.39%,Health
5,netmums.com,Health > Womens Health,1,00:02:08,2.11,54.44%,Health
6,plannedparenthood.org,Health > Womens Health,1,00:01:22,1.89,69.5%,Health
7,parents.fr,Health > Womens Health,=,00:01:08,1.6,70.23%,Health
